"timestamp (abs)","sample rate (Hz)","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
2367,500,0,0,0,0,1
2368,500,0,0,0,1,1
2374,500,0,0,0,1,0
2375,500,0,0,0,1,1
2382,500,0,0,0,0,1
2383,500,0,0,0,1,1
2384,500,0,0,0,1,0
2385,500,0,0,0,1,1
2389,500,0,0,0,0,1
2391,500,0,0,0,1,1
2393,500,0,0,0,1,0
2395,500,0,0,0,1,1
2397,500,0,0,0,0,1
2399,500,0,0,0,1,1
2403,500,0,0,0,1,0
2405,500,0,0,0,1,1
2406,500,0,0,0,0,1
2407,500,0,0,0,1,1
2414,500,0,0,0,1,0
2415,500,0,0,0,1,1
2420,500,0,0,0,0,1
2421,500,0,0,0,1,1
2429,500,0,0,0,0,1
2430,500,0,0,0,1,1
2438,500,0,0,0,0,1
2439,500,0,0,0,1,1
2444,500,0,0,0,1,0
2445,500,0,0,0,1,1
2446,500,0,0,0,0,1
2447,500,0,0,0,1,1
2460,500,0,0,0,0,1
2462,500,0,0,0,1,1
2468,500,0,0,0,0,1
2470,500,0,0,0,1,1
2474,500,0,0,0,1,0
2475,500,0,0,0,1,1
2476,500,0,0,0,0,1
2477,500,0,0,0,1,1
2484,500,0,0,0,1,0
2485,500,0,0,0,1,1
2492,500,0,0,0,0,1
2493,500,0,0,0,1,1
2494,500,0,0,0,1,0
2495,500,0,0,0,1,1
2504,500,0,0,0,1,0
2505,500,0,0,0,1,1
2508,500,0,0,0,0,1
2509,500,0,0,0,1,1
2514,500,0,0,0,1,0
2515,500,0,0,0,1,1
2517,500,0,0,0,0,1
2518,500,0,0,0,1,1
2524,500,0,0,0,1,0
2525,500,0,0,0,1,1
2530,500,0,0,0,0,1
2532,500,0,0,0,1,1
2534,500,0,0,0,1,0
2535,500,0,0,0,1,1
2540,500,0,0,0,0,1
2541,500,0,0,0,1,1
2547,500,0,0,0,0,1
2549,500,0,0,0,1,1
2554,500,0,0,0,1,0
2555,500,0,0,0,1,1
2562,500,0,0,0,0,1
2563,500,0,0,0,1,1
2565,500,0,0,0,1,0
2566,500,0,0,0,1,1
2571,500,0,0,0,0,1
2572,500,0,0,0,1,1
2575,500,0,0,0,1,0
2576,500,0,0,0,1,1
2584,500,0,0,0,1,0
2586,500,0,0,0,1,1
2587,500,0,0,0,0,1
2588,500,0,0,0,1,1
2595,500,0,0,0,1,0
2596,500,0,0,0,1,1
2602,500,0,0,0,0,1
2603,500,0,0,0,1,1
2604,500,0,0,0,1,0
2606,500,0,0,0,1,1
2609,500,0,0,0,0,1
2611,500,0,0,0,1,1
2615,500,0,0,0,1,0
2616,500,0,0,0,1,1
2625,500,0,0,0,1,0
2626,500,0,0,0,0,1
2628,500,0,0,0,1,1
2634,500,0,0,0,1,0
2636,500,0,0,0,1,1
2641,500,0,0,0,0,1
2642,500,0,0,0,1,1
2644,500,0,0,0,1,0
2646,500,0,0,0,1,1
2650,500,0,0,0,0,1
2651,500,0,0,0,1,1
2654,500,0,0,0,1,0
2656,500,0,0,0,1,1
2665,500,0,0,0,1,0
2666,500,0,0,0,1,1
2672,500,0,0,0,0,1
2674,500,0,0,0,1,1
2681,500,0,0,0,0,1
2682,500,0,0,0,1,1
2685,500,0,0,0,1,0
2686,500,0,0,0,1,1
2688,500,0,0,0,0,1
2690,500,0,0,0,1,1
2697,500,0,0,0,0,1
2698,500,0,0,0,1,1
2715,500,0,0,0,1,0
2716,500,0,0,0,1,1
2720,500,0,0,0,0,1
2721,500,0,0,0,1,1
